X Z
8.4965 0.00112683
8.52647 0.00114861
8.55644 0.00116955
8.58641 0.00118959
8.61638 0.00120867
8.64635 0.00122672
8.67632 0.00124369
8.70629 0.00125956
8.73626 0.00127427
8.76623 0.00128781
8.7962 0.00130015
8.82617 0.00131128
8.85614 0.0013212
8.88611 0.0013299
8.91608 0.00133739
8.94605 0.00134369
8.97602 0.00134881
9.00599 0.00135278
9.03596 0.00135563
9.06593 0.0013574
9.0959 0.00135813
9.12587 0.00135786
9.15584 0.00135664
9.18581 0.00135452
9.21578 0.00135155
9.24575 0.0013478
9.27572 0.00134332
9.30569 0.00133818
9.33566 0.00133243
9.36563 0.00132615
9.3956 0.00131939
9.42557 0.00131222
9.45554 0.0013047
9.48551 0.0012969
9.51548 0.00128887
9.54545 0.00128069
9.57542 0.0012724
9.60539 0.00126407
9.63536 0.00125574
9.66533 0.00124748
9.6953 0.00123932
9.72527 0.00123133
9.75524 0.00122353
9.78521 0.00121597
9.81518 0.00120869
9.84515 0.00120172
9.87512 0.00119509
9.90509 0.00118882
9.93506 0.00118294
9.96503 0.00117747
9.995 0.00117242
10.025 0.0011678
10.0549 0.00116362
10.0849 0.00115989
10.1149 0.0011566
10.1449 0.00115376
10.1748 0.00115137
10.2048 0.0011494
10.2348 0.00114786
10.2647 0.00114673
10.2947 0.001146
10.3247 0.00114565
10.3546 0.00114566
10.3846 0.00114601
10.4146 0.00114667
10.4446 0.00114764
10.4745 0.00114887
10.5045 0.00115036
10.5345 0.00115206
10.5644 0.00115397
10.5944 0.00115604
10.6244 0.00115825
10.6543 0.00116059
10.6843 0.00116302
10.7143 0.00116551
10.7443 0.00116805
10.7742 0.00117061
10.8042 0.00117317
10.8342 0.00117571
10.8641 0.0011782
10.8941 0.00118063
10.9241 0.00118298
10.954 0.00118524
10.984 0.00118739
11.014 0.00118941
11.044 0.0011913
11.0739 0.00119305
11.1039 0.00119464
11.1339 0.00119608
11.1638 0.00119735
11.1938 0.00119846
11.2238 0.0011994
11.2537 0.00120017
11.2837 0.00120077
11.3137 0.00120121
11.3437 0.00120149
11.3736 0.00120161
11.4036 0.00120159
11.4336 0.00120142
11.4635 0.00120112
11.4935 0.00120069
11.5235 0.00120015
11.5534 0.0011995
11.5834 0.00119877
11.6134 0.00119795
11.6434 0.00119706
11.6733 0.00119612
11.7033 0.00119513
11.7333 0.0011941
11.7632 0.00119306
11.7932 0.00119201
11.8232 0.00119096
11.8531 0.00118992
11.8831 0.00118891
11.9131 0.00118794
11.9431 0.001187
11.973 0.00118612
12.003 0.0011853
12.033 0.00118454
12.0629 0.00118386
12.0929 0.00118325
12.1229 0.00118273
12.1528 0.00118229
12.1828 0.00118193
12.2128 0.00118166
12.2428 0.00118148
12.2727 0.00118138
12.3027 0.00118137
12.3327 0.00118144
12.3626 0.00118158
12.3926 0.0011818
12.4226 0.00118208
12.4525 0.00118242
12.4825 0.00118281
12.5125 0.00118326
12.5425 0.00118374
12.5724 0.00118425
12.6024 0.00118478
12.6324 0.00118534
12.6623 0.00118589
12.6923 0.00118645
12.7223 0.001187
12.7522 0.00118754
12.7822 0.00118805
12.8122 0.00118854
12.8422 0.00118899
12.8721 0.0011894
12.9021 0.00118976
12.9321 0.00119008
12.962 0.00119035
12.992 0.00119057
13.022 0.00119073
13.0519 0.00119084
13.0819 0.0011909
13.1119 0.0011909
13.1419 0.00119085
13.1718 0.00119076
13.2018 0.00119062
13.2318 0.00119043
13.2617 0.00119022
13.2917 0.00118997
13.3217 0.00118969
13.3516 0.0011894
13.3816 0.00118908
13.4116 0.00118876
13.4416 0.00118844
13.4715 0.00118812
13.5015 0.0011878
13.5315 0.0011875
13.5614 0.00118721
13.5914 0.00118695
13.6214 0.0011867
13.6513 0.00118649
13.6813 0.00118631
13.7113 0.00118616
13.7413 0.00118604
13.7712 0.00118596
13.8012 0.00118591
13.8312 0.0011859
13.8611 0.00118591
13.8911 0.00118596
13.9211 0.00118604
13.951 0.00118614
13.981 0.00118626
14.011 0.0011864
14.041 0.00118656
14.0709 0.00118672
14.1009 0.0011869
14.1309 0.00118707
14.1608 0.00118725
14.1908 0.00118742
14.2208 0.00118759
14.2507 0.00118774
14.2807 0.00118788
14.3107 0.001188
14.3407 0.0011881
14.3706 0.00118819
14.4006 0.00118825
14.4306 0.0011883
14.4605 0.00118832
14.4905 0.00118832
14.5205 0.00118831
14.5504 0.00118827
14.5804 0.00118823
14.6104 0.00118816
14.6404 0.00118809
14.6703 0.00118801
14.7003 0.00118792
14.7303 0.00118783
14.7602 0.00118774
14.7902 0.00118765
14.8202 0.00118757
14.8501 0.0011875
14.8801 0.00118743
14.9101 0.00118738
14.9401 0.00118734
14.97 0.00118732
