X T Z
-3.14159 0 0.0254415
-3.07938 0 0.028026
-3.01717 0 0.0308134
-2.95496 0 0.0338125
-2.89275 0 0.0370318
-2.83054 0 0.0404792
-2.76833 0 0.044162
-2.70612 0 0.0480867
-2.64391 0 0.052259
-2.5817 0 0.0566835
-2.5195 0 0.0613637
-2.45729 0 0.066302
-2.39508 0 0.0714992
-2.33287 0 0.0769547
-2.27066 0 0.0826664
-2.20845 0 0.0886303
-2.14624 0 0.0948408
-2.08403 0 0.10129
-2.02182 0 0.107969
-1.95961 0 0.114866
-1.8974 0 0.121967
-1.83519 0 0.129257
-1.77298 0 0.136718
-1.71077 0 0.14433
-1.64856 0 0.152071
-1.58635 0 0.159917
-1.52414 0 0.167844
-1.46193 0 0.175822
-1.39972 0 0.183824
-1.33751 0 0.191818
-1.2753 0 0.199774
-1.21309 0 0.207657
-1.15088 0 0.215433
-1.08867 0 0.223069
-1.02646 0 0.230529
-0.964251 0 0.237778
-0.902041 0 0.244781
-0.839832 0 0.251503
-0.777622 0 0.257909
-0.715412 0 0.263968
-0.653202 0 0.269647
-0.590993 0 0.274916
-0.528783 0 0.279745
-0.466573 0 0.28411
-0.404363 0 0.287984
-0.342154 0 0.291347
-0.279944 0 0.29418
-0.217734 0 0.296465
-0.155524 0 0.298191
-0.0933146 0 0.299348
-0.0311049 0 0.299927
0.0311049 0 0.299927
0.0933146 0 0.299348
0.155524 0 0.298191
0.217734 0 0.296465
0.279944 0 0.29418
0.342154 0 0.291347
0.404363 0 0.287984
0.466573 0 0.28411
0.528783 0 0.279745
0.590993 0 0.274916
0.653202 0 0.269647
0.715412 0 0.263968
0.777622 0 0.257909
0.839832 0 0.251503
0.902041 0 0.244781
0.964251 0 0.237778
1.02646 0 0.230529
1.08867 0 0.223069
1.15088 0 0.215433
1.21309 0 0.207657
