X Z
-0.0878475 0.177033
-0.079481 0.177072
-0.0711146 0.177111
-0.0627482 0.177143
-0.0543818 0.177156
-0.0460153 0.177152
-0.0376489 0.177137
-0.0292825 0.177119
-0.0209161 0.177104
-0.0125496 0.177091
-0.00418321 0.177083
0.00418321 0.177083
0.0125496 0.177091
0.0209161 0.177104
0.0292825 0.177119
0.0376489 0.177137
0.0460153 0.177152
0.0543818 0.177156
0.0627482 0.177143
0.0711146 0.177111
0.079481 0.177072
0.0878475 0.177033
0.0962139 0.176995
0.10458 0.176956
0.112947 0.176911
0.121313 0.176862
0.12968 0.176805
0.138046 0.176738
0.146412 0.176664
0.154779 0.176594
0.163145 0.176534
0.171512 0.176481
0.179878 0.176421
0.188245 0.176349
0.196611 0.176269
0.204977 0.176181
0.213344 0.176078
0.22171 0.175951
0.230077 0.175804
0.238443 0.175647
0.24681 0.175485
0.255176 0.175311
0.263542 0.175129
0.271909 0.174954
0.280275 0.174793
0.288642 0.174635
0.297008 0.174458
0.305375 0.174259
0.313741 0.174049
0.322107 0.173837
0.330474 0.173613
0.33884 0.173368
0.347207 0.173112
0.355573 0.172859
0.363939 0.172598
0.372306 0.172309
0.380672 0.171986
0.389039 0.171648
0.397405 0.171306
0.405772 0.170953
0.414138 0.170576
0.422504 0.170186
0.430871 0.169804
0.439237 0.169433
0.447604 0.169055
0.45597 0.168658
0.464337 0.168248
0.472703 0.167832
0.481069 0.167401
0.489436 0.166941
0.497802 0.166459
0.506169 0.165974
0.514535 0.165497
0.522902 0.165019
0.531268 0.164536
0.539634 0.164052
0.548001 0.16357
0.556367 0.163084
0.564734 0.162586
0.5731 0.162077
0.581467 0.161563
0.589833 0.161044
0.598199 0.160525
0.606566 0.160011
0.614932 0.159506
0.623299 0.158998
0.631665 0.158475
0.640032 0.157941
0.648398 0.157401
0.656764 0.156853
0.665131 0.156289
0.673497 0.155716
0.681864 0.155154
0.69023 0.154606
0.698597 0.154055
0.706963 0.153491
0.715329 0.152925
0.723696 0.152373
0.732062 0.151827
0.740429 0.151268
0.748795 0.150697
0.757161 0.15013
0.765528 0.149577
0.773894 0.149032
0.782261 0.148495
0.790627 0.147978
0.798994 0.147484
0.80736 0.147
0.815726 0.146513
0.824093 0.146021
0.832459 0.145527
0.840826 0.145032
0.849192 0.144538
0.857559 0.144052
0.865925 0.143571
0.874291 0.143079
0.882658 0.14257
0.891024 0.14206
0.899391 0.141565
0.907757 0.141079
0.916124 0.140587
0.92449 0.140095
0.932856 0.139611
0.941223 0.139127
0.949589 0.138625
0.957956 0.138108
0.966322 0.137594
0.974689 0.137089
0.983055 0.136579
0.991421 0.136056
0.999788 0.135524
1.00815 0.134989
1.01652 0.13445
1.02489 0.133916
1.03325 0.133396
1.04162 0.132883
1.04999 0.132366
1.05835 0.131848
1.06672 0.131346
1.07509 0.130864
1.08345 0.130388
1.09182 0.129913
1.10018 0.129447
1.10855 0.128987
1.11692 0.128508
1.12528 0.128
1.13365 0.127474
1.14202 0.126945
1.15038 0.126414
1.15875 0.125881
1.16712 0.125356
1.17548 0.124839
1.18385 0.124322
1.19222 0.123804
1.20058 0.123293
1.20895 0.12278
1.21731 0.122246
1.22568 0.121694
1.23405 0.121144
1.24241 0.120603
1.25078 0.12006
1.25915 0.119515
1.26751 0.118981
1.27588 0.118461
1.28425 0.117948
1.29261 0.117439
1.30098 0.116939
1.30935 0.116445
1.31771 0.115944
1.32608 0.115441
1.33444 0.114941
1.34281 0.114437
1.35118 0.113921
1.35954 0.113409
1.36791 0.112918
1.37628 0.11244
1.38464 0.111958
1.39301 0.111478
1.40138 0.11101
1.40974 0.110552
1.41811 0.110099
1.42648 0.109653
1.43484 0.109206
1.44321 0.108739
1.45157 0.108251
1.45994 0.107763
1.46831 0.10728
1.47667 0.106795
1.48504 0.106312
1.49341 0.105844
1.50177 0.105385
1.51014 0.104919
1.51851 0.104445
1.52687 0.103971
1.53524 0.103495
1.54361 0.103015
1.55197 0.102542
1.56034 0.102077
1.5687 0.101599
1.57707 0.101108
1.58544 0.100623
1.5938 0.100144
1.60217 0.0996558
1.61054 0.0991587
1.6189 0.0986608
1.62727 0.098158
1.63564 0.0976482
1.644 0.0971437
1.65237 0.0966447
1.66074 0.0961339
1.6691 0.0956115
1.67747 0.0950969
1.68583 0.0945933
1.6942 0.0940903
1.70257 0.0935934
1.71093 0.0931103
1.7193 0.0926318
1.72767 0.092155
1.73603 0.0916924
1.7444 0.091241
1.75277 0.0907846
1.76113 0.0903268
1.7695 0.0898789
1.77787 0.08943
1.78623 0.0889699
1.7946 0.0885108
1.80296 0.088059
1.81133 0.0876058
1.8197 0.0871551
1.82806 0.0867123
1.83643 0.0862603
1.8448 0.0857898
1.85316 0.0853211
1.86153 0.0848674
1.8699 0.0844206
1.87826 0.0839816
1.88663 0.0835543
1.895 0.0831237
1.90336 0.0826861
1.91173 0.0822601
1.92009 0.081847
1.92846 0.0814322
1.93683 0.0810214
1.94519 0.0806246
1.95356 0.0802312
1.96193 0.0798397
1.97029 0.0794601
1.97866 0.0790802
1.98703 0.0786876
1.99539 0.0782979
2.00376 0.0779193
2.01213 0.0775408
2.02049 0.0771675
2.02886 0.0768076
2.03722 0.076446
2.04559 0.076079
2.05396 0.0757204
2.06232 0.0753626
2.07069 0.0749963
2.07906 0.0746386
2.08742 0.0742937
2.09579 0.0739475
2.10416 0.0736047
2.11252 0.0732668
2.12089 0.0729164
2.12926 0.0725602
2.13762 0.0722169
2.14599 0.0718765
2.15435 0.0715323
2.16272 0.0711938
2.17109 0.0708513
2.17945 0.0704998
2.18782 0.0701606
2.19619 0.0698318
2.20455 0.0694964
2.21292 0.0691629
2.22129 0.0688321
2.22965 0.0684938
2.23802 0.0681648
2.24639 0.0678517
2.25475 0.067534
2.26312 0.0672158
2.27148 0.066905
2.27985 0.0665896
2.28822 0.0662793
2.29658 0.065985
2.30495 0.0656867
2.31332 0.0653857
2.32168 0.0650963
2.33005 0.0648078
2.33842 0.0645273
2.34678 0.0642679
2.35515 0.0640094
2.36352 0.0637511
2.37188 0.0635058
2.38025 0.0632604
2.38861 0.0630215
2.39698 0.0628034
2.40535 0.0625882
2.41371 0.062379
2.42208 0.0621848
2.43045 0.0619854
2.43881 0.0617859
2.44718 0.0615938
2.45555 0.0613918
2.46391 0.0611936
2.47228 0.0610066
2.48065 0.0608124
2.48901 0.0606225
2.49738 0.0604333
2.50574 0.0602285
2.51411 0.0600282
2.52248 0.0598282
2.53084 0.0596203
2.53921 0.0594243
2.54758 0.0592271
2.55594 0.0590288
2.56431 0.0588468
2.57268 0.0586605
2.58104 0.0584746
2.58941 0.0582935
2.59778 0.058099
2.60614 0.0579145
2.61451 0.0577411
2.62287 0.0575684
2.63124 0.0574112
2.63961 0.0572445
2.64797 0.0570673
2.65634 0.0568948
2.66471 0.0567124
2.67307 0.0565425
2.68144 0.0563802
2.68981 0.0562112
2.69817 0.0560547
2.70654 0.0558925
2.7149 0.055737
2.72327 0.0555954
2.73164 0.0554471
2.74 0.0553127
2.74837 0.0551778
2.75674 0.0550515
2.7651 0.0549504
2.77347 0.0548527
2.78184 0.0547742
2.7902 0.0546909
2.79857 0.0546026
2.80694 0.0545245
2.8153 0.0544423
2.82367 0.0543834
2.83203 0.0543241
2.8404 0.0542662
2.84877 0.0542081
2.85713 0.0541342
2.8655 0.0540716
2.87387 0.0539973
2.88223 0.0539315
2.8906 0.0538599
2.89897 0.0537835
2.90733 0.0537167
2.9157 0.0536433
2.92407 0.0535884
2.93243 0.0535214
2.9408 0.0534606
2.94916 0.0533895
2.95753 0.0533219
2.9659 0.0532666
2.97426 0.0532151
2.98263 0.0531812
2.991 0.0531334
2.99936 0.0530934
3.00773 0.0530348
3.0161 0.052989
3.02446 0.0529362
3.03283 0.0528954
3.0412 0.0528483
3.04956 0.0528022
3.05793 0.0527537
3.06629 0.052705
3.07466 0.0526623
3.08303 0.0526148
3.09139 0.0525732
3.09976 0.0525237
3.10813 0.0524893
3.11649 0.0524569
3.12486 0.052449
3.13323 0.0524399
