X T Z
2.79114 0 0.0018305
2.81617 0 0.00170644
2.8412 0 0.00158978
2.86623 0 0.00148018
2.89127 0 0.00137726
2.9163 0 0.0012807
2.94133 0 0.00119017
2.96636 0 0.00110534
2.9914 0 0.00102591
3.01643 0 0.000951597
3.04146 0 0.000882112
3.06649 0 0.000817188
3.09153 0 0.000756569
3.11656 0 0.000700008
-3.14159 0.0199203 0.000702763
-3.11656 0.0199203 0.000696063
-3.09153 0.0199203 0.000742854
-3.06649 0.0199203 0.000808929
-3.04146 0.0199203 0.000879447
-3.01643 0.0199203 0.000951525
-2.9914 0.0199203 0.00102641
-2.96636 0.0199203 0.00110569
-2.94133 0.0199203 0.0011903
-2.9163 0.0199203 0.00128072
-2.89127 0.0199203 0.00137725
-2.86623 0.0199203 0.00148017
-2.8412 0.0199203 0.00158978
-2.81617 0.0199203 0.00170644
-2.79114 0.0199203 0.00183051
-2.7661 0.0199203 0.00196236
-2.74107 0.0199203 0.0021024
-2.71604 0.0199203 0.00225101
-2.69101 0.0199203 0.00240863
-2.66597 0.0199203 0.00257566
-2.64094 0.0199203 0.00275255
-2.61591 0.0199203 0.00293975
-2.59088 0.0199203 0.00313772
-2.56584 0.0199203 0.00334691
-2.54081 0.0199203 0.00356782
-2.51578 0.0199203 0.00380092
-2.49074 0.0199203 0.00404672
-2.46571 0.0199203 0.00430572
-2.44068 0.0199203 0.00457842
-2.41565 0.0199203 0.00486534
-2.39061 0.0199203 0.005167
-2.36558 0.0199203 0.00548394
-2.34055 0.0199203 0.00581666
-2.31552 0.0199203 0.00616571
-2.29048 0.0199203 0.00653161
-2.26545 0.0199203 0.00691489
-2.24042 0.0199203 0.00731607
-2.21539 0.0199203 0.00773568
-2.19035 0.0199203 0.00817423
-2.16532 0.0199203 0.00863224
-2.14029 0.0199203 0.00911019
-2.11526 0.0199203 0.00960859
-2.09022 0.0199203 0.0101279
-2.06519 0.0199203 0.0106686
-2.04016 0.0199203 0.0112311
-2.01513 0.0199203 0.0118159
-1.99009 0.0199203 0.0124233
-1.96506 0.0199203 0.0130538
-1.94003 0.0199203 0.0137077
-1.91499 0.0199203 0.0143853
-1.88996 0.0199203 0.015087
-1.86493 0.0199203 0.0158129
-1.8399 0.0199203 0.0165635
-1.81486 0.0199203 0.0173387
-1.78983 0.0199203 0.0181389
-1.7648 0.0199203 0.0189642
-1.73977 0.0199203 0.0198145
-1.71473 0.0199203 0.0206901
-1.6897 0.0199203 0.0215907
-1.66467 0.0199203 0.0225165
-1.63964 0.0199203 0.0234673
-1.6146 0.0199203 0.0244428
-1.58957 0.0199203 0.025443
-1.56454 0.0199203 0.0264676
-1.53951 0.0199203 0.0275161
-1.51447 0.0199203 0.0285882
-1.48944 0.0199203 0.0296836
-1.46441 0.0199203 0.0308015
-1.43938 0.0199203 0.0319416
-1.41434 0.0199203 0.0331031
-1.38931 0.0199203 0.0342854
-1.36428 0.0199203 0.0354876
-1.33924 0.0199203 0.036709
-1.31421 0.0199203 0.0379486
-1.28918 0.0199203 0.0392055
-1.26415 0.0199203 0.0404787
-1.23911 0.0199203 0.041767
-1.21408 0.0199203 0.0430694
-1.18905 0.0199203 0.0443845
-1.16402 0.0199203 0.0457111
-1.13898 0.0199203 0.0470479
-1.11395 0.0199203 0.0483935
-1.08892 0.0199203 0.0497464
-1.06389 0.0199203 0.051105
-1.03885 0.0199203 0.0524679
-1.01382 0.0199203 0.0538333
-0.988788 0.0199203 0.0551997
-0.963756 0.0199203 0.0565654
-0.938723 0.0199203 0.0579285
-0.91369 0.0199203 0.0592873
-0.888658 0.0199203 0.0606399
-0.863625 0.0199203 0.0619846
-0.838592 0.0199203 0.0633193
-0.81356 0.0199203 0.0646423
-0.788527 0.0199203 0.0659516
-0.763495 0.0199203 0.0672453
-0.738462 0.0199203 0.0685214
-0.713429 0.0199203 0.069778
-0.688397 0.0199203 0.0710131
-0.663364 0.0199203 0.0722248
-0.638332 0.0199203 0.0734112
-0.613299 0.0199203 0.0745703
-0.588266 0.0199203 0.0757002
-0.563234 0.0199203 0.0767991
-0.538201 0.0199203 0.0778652
-0.513169 0.0199203 0.0788966
-0.488136 0.0199203 0.0798917
-0.463103 0.0199203 0.0808485
