X T Z
1.84726 -5 0.534623
1.88496 -5 0.549005
1.92265 -5 0.56357
1.96035 -5 0.57829
1.99805 -5 0.593136
2.03575 -5 0.608074
2.07345 -5 0.623068
2.11115 -5 0.638078
2.14885 -5 0.653063
2.18655 -5 0.667976
2.22425 -5 0.682769
2.26195 -5 0.697391
2.29965 -5 0.711786
2.33734 -5 0.725898
2.37504 -5 0.739668
2.41274 -5 0.753035
2.45044 -5 0.765935
2.48814 -5 0.778307
2.52584 -5 0.790085
2.56354 -5 0.801207
2.60124 -5 0.811609
2.63894 -5 0.821229
2.67664 -5 0.83001
2.71434 -5 0.837894
2.75204 -5 0.84483
2.78973 -5 0.850769
2.82743 -5 0.855669
2.86513 -5 0.859494
2.90283 -5 0.862213
2.94053 -5 0.863802
2.97823 -5 0.864245
3.01593 -5 0.863534
3.05363 -5 0.861668
3.09133 -5 0.858654
3.12903 -5 0.854507
3.16673 -5 0.849249
3.20442 -5 0.84291
3.24212 -5 0.835525
3.27982 -5 0.827137
3.31752 -5 0.817795
3.35522 -5 0.80755
3.39292 -5 0.79646
3.43062 -5 0.784586
3.46832 -5 0.77199
3.50602 -5 0.758737
3.54372 -5 0.744894
3.58142 -5 0.730526
3.61911 -5 0.7157
3.65681 -5 0.700481
3.69451 -5 0.684933
3.73221 -5 0.669117
3.76991 -5 0.653093
3.80761 -5 0.636918
3.84531 -5 0.620645
3.88301 -5 0.604325
3.92071 -5 0.588006
3.95841 -5 0.57173
3.99611 -5 0.555539
4.0338 -5 0.539469
4.0715 -5 0.523554
4.1092 -5 0.507824
4.1469 -5 0.492306
4.1846 -5 0.477023
4.2223 -5 0.461996
4.26 -5 0.447243
4.2977 -5 0.432781
4.3354 -5 0.418621
4.3731 -5 0.404774
4.4108 -5 0.391248
4.4485 -5 0.378051
4.48619 -5 0.365187
4.52389 -5 0.352659
4.56159 -5 0.340469
4.59929 -5 0.328617
4.63699 -5 0.317102
4.67469 -5 0.305923
4.71239 -5 0.295077
4.75009 -5 0.28456
4.78779 -5 0.274368
4.82549 -5 0.264496
4.86319 -5 0.254939
4.90088 -5 0.24569
4.93858 -5 0.236745
4.97628 -5 0.228095
5.01398 -5 0.219735
5.05168 -5 0.211658
5.08938 -5 0.203856
5.12708 -5 0.196322
5.16478 -5 0.189049
5.20248 -5 0.18203
5.24018 -5 0.175258
5.27788 -5 0.168725
5.31557 -5 0.162424
5.35327 -5 0.156349
5.39097 -5 0.150491
5.42867 -5 0.144845
5.46637 -5 0.139403
5.50407 -5 0.134159
5.54177 -5 0.129106
5.57947 -5 0.124239
5.61717 -5 0.11955
5.65487 -5 0.115033
5.69257 -5 0.110684
5.73027 -5 0.106495
5.76796 -5 0.102462
5.80566 -5 0.0985784
5.84336 -5 0.0948398
5.88106 -5 0.0912406
5.91876 -5 0.087776
5.95646 -5 0.084441
5.99416 -5 0.0812311
6.03186 -5 0.0781418
6.06956 -5 0.0751685
6.10726 -5 0.0723072
6.14496 -5 0.0695537
6.18265 -5 0.0669041
6.22035 -5 0.0643545
6.25805 -5 0.0619012
6.29575 -5 0.0595407
6.33345 -5 0.0572696
6.37115 -5 0.0550845
6.40885 -5 0.0529823
6.44655 -5 0.0509597
6.48425 -5 0.049014
6.52195 -5 0.0471421
6.55965 -5 0.0453413
6.59734 -5 0.043609
6.63504 -5 0.0419426
6.67274 -5 0.0403396
6.71044 -5 0.0387975
6.74814 -5 0.0373142
6.78584 -5 0.0358874
6.82354 -5 0.0345149
6.86124 -5 0.0331948
6.89894 -5 0.031925
6.93664 -5 0.0307036
6.97434 -5 0.0295288
7.01203 -5 0.0283988
7.04973 -5 0.027312
7.08743 -5 0.0262666
7.12513 -5 0.0252611
7.16283 -5 0.024294
7.20053 -5 0.0233639
7.23823 -5 0.0224693
7.27593 -5 0.0216089
7.31363 -5 0.0207813
7.35133 -5 0.0199854
7.38903 -5 0.0192199
7.42673 -5 0.0184837
7.46442 -5 0.0177756
7.50212 -5 0.0170946
7.53982 -5 0.0164396
7.57752 -5 0.0158097
7.61522 -5 0.0152039
7.65292 -5 0.0146212
7.69062 -5 0.0140609
7.72832 -5 0.013522
7.76602 -5 0.0130037
7.80372 -5 0.0125052
7.84142 -5 0.0120258
7.87911 -5 0.0115648
7.91681 -5 0.0111214
7.95451 -5 0.010695
7.99221 -5 0.0102849
8.02991 -5 0.00989051
8.06761 -5 0.00951122
8.10531 -5 0.00914646
8.14301 -5 0.00879566
8.18071 -5 0.0084583
8.21841 -5 0.00813386
8.25611 -5 0.00782185
8.2938 -5 0.00752179
8.3315 -5 0.00723323
8.3692 -5 0.00695572
8.4069 -5 0.00668884
8.4446 -5 0.00643218
8.4823 -5 0.00618537
8.52 -5 0.005948
8.5577 -5 0.00571974
8.5954 -5 0.00550022
8.6331 -5 0.00528912
8.6708 -5 0.00508611
8.70849 -5 0.00489088
8.74619 -5 0.00470313
8.78389 -5 0.00452258
8.82159 -5 0.00434895
8.85929 -5 0.00418198
8.89699 -5 0.00402141
8.93469 -5 0.003867
8.97239 -5 0.0037185
9.01009 -5 0.00357571
9.04779 -5 0.00343839
9.08549 -5 0.00330633
9.12319 -5 0.00317934
9.16088 -5 0.00305722
9.19858 -5 0.00293978
9.23628 -5 0.00282685
9.27398 -5 0.00271826
9.31168 -5 0.00261382
9.34938 -5 0.0025134
9.38708 -5 0.00241682
9.42478 -5 0.00232396
-9.42478 -5 -nan
-9.38708 -5 -nan
-9.34938 -5 -nan
-9.31168 -5 -nan
-9.27398 -5 -nan
-9.23628 -5 -nan
-9.19858 -5 -nan
-9.16088 -5 -nan
-9.12319 -5 -nan
-9.08549 -5 -nan
-9.04779 -5 -nan
-9.01009 -5 -nan
-8.97239 -5 -nan
-8.93469 -5 -nan
-8.89699 -5 -nan
-8.85929 -5 -nan
-8.82159 -5 -nan
-8.78389 -5 -nan
-8.74619 -5 -nan
-8.70849 -5 -nan
-8.6708 -5 -nan
-8.6331 -5 -nan
-8.5954 -5 -nan
-8.5577 -5 -nan
-8.52 -5 -nan
-8.4823 -5 -nan
-8.4446 -5 -nan
-8.4069 -5 -nan
-8.3692 -5 -nan
-8.3315 -5 -nan
-8.2938 -5 -nan
-8.25611 -5 -nan
-8.21841 -5 -nan
-8.18071 -5 -nan
-8.14301 -5 -nan
-8.10531 -5 -nan
-8.06761 -5 -nan
-8.02991 -5 -nan
-7.99221 -5 -nan
-7.95451 -5 -nan
-7.91681 -5 -nan
-7.87911 -5 -nan
-7.84142 -5 -nan
-7.80372 -5 -nan
-7.76602 -5 -nan
-7.72832 -5 -nan
-7.69062 -5 -nan
-7.65292 -5 -nan
-7.61522 -5 -nan
-7.57752 -5 -nan
-7.53982 -5 -nan
-7.50212 -5 -nan
-7.46442 -5 -nan
-7.42673 -5 -nan
-7.38903 -5 -nan
-7.35133 -5 -nan
-7.31363 -5 -nan
-7.27593 -5 -nan
-7.23823 -5 -nan
-7.20053 -5 -nan
-7.16283 -5 -nan
-7.12513 -5 -nan
-7.08743 -5 -nan
-7.04973 -5 -nan
-7.01203 -5 -nan
-6.97434 -5 -nan
-6.93664 -5 -nan
-6.89894 -5 -nan
-6.86124 -5 -nan
-6.82354 -5 -nan
-6.78584 -5 -nan
-6.74814 -5 -nan
-6.71044 -5 -nan
-6.67274 -5 -nan
-6.63504 -5 -nan
-6.59734 -5 -nan
-6.55965 -5 -nan
-6.52195 -5 -nan
-6.48425 -5 -nan
-6.44655 -5 -nan
-6.40885 -5 -nan
-6.37115 -5 -nan
-6.33345 -5 -nan
-6.29575 -5 -nan
-6.25805 -5 -nan
-6.22035 -5 -nan
-6.18265 -5 -nan
-6.14496 -5 -nan
-6.10726 -5 -nan
-6.06956 -5 -nan
-6.03186 -5 -nan
-5.99416 -5 -nan
-5.95646 -5 -nan
-5.91876 -5 -nan
-5.88106 -5 -nan
-5.84336 -5 -nan
-5.80566 -5 -nan
-5.76796 -5 -nan
-5.73027 -5 -nan
-5.69257 -5 -nan
-5.65487 -5 -nan
-5.61717 -5 -nan
-5.57947 -5 -nan
-5.54177 -5 -nan
-5.50407 -5 -nan
-5.46637 -5 -nan
-5.42867 -5 -nan
-5.39097 -5 -nan
-5.35327 -5 -nan
-5.31557 -5 -nan
-5.27788 -5 -nan
-5.24018 -5 -nan
-5.20248 -5 -nan
-5.16478 -5 -nan
-5.12708 -5 -nan
-5.08938 -5 -nan
-5.05168 -5 -nan
-5.01398 -5 -nan
-4.97628 -5 -nan
-4.93858 -5 -nan
-4.90088 -5 -nan
-4.86319 -5 -nan
-4.82549 -5 -nan
-4.78779 -5 -nan
-4.75009 -5 -nan
-4.71239 -5 -nan
-4.67469 -5 -nan
-4.63699 -5 -nan
-4.59929 -5 -nan
-4.56159 -5 -nan
-4.52389 -5 -nan
-4.48619 -5 -nan
-4.4485 -5 -nan
-4.4108 -5 -nan
-4.3731 -5 -nan
-4.3354 -5 -nan
-4.2977 -5 -nan
-4.26 -5 -nan
-4.2223 -5 -nan
-4.1846 -5 -nan
-4.1469 -5 -nan
-4.1092 -5 -nan
-4.0715 -5 -nan
-4.0338 -5 -nan
-3.99611 -5 -nan
-3.95841 -5 -nan
-3.92071 -5 -nan
-3.88301 -5 -nan
-3.84531 -5 -nan
-3.80761 -5 -nan
-3.76991 -5 -nan
-3.73221 -5 -nan
-3.69451 -5 -nan
-3.65681 -5 -nan
-3.61911 -5 -nan
-3.58142 -5 -nan
-3.54372 -5 -nan
-3.50602 -5 -nan
-3.46832 -5 -nan
-3.43062 -5 -nan
-3.39292 -5 -nan
-3.35522 -5 -nan
-3.31752 -5 -nan
-3.27982 -5 -nan
-3.24212 -5 -nan
-3.20442 -5 -nan
-3.16673 -5 -nan
-3.12903 -5 -nan
-3.09133 -5 -nan
-3.05363 -5 -nan
-3.01593 -5 -nan
-2.97823 -5 -nan
-2.94053 -5 -nan
-2.90283 -5 -nan
-2.86513 -5 -nan
-2.82743 -5 -nan
-2.78973 -5 -nan
-2.75204 -5 -nan
-2.71434 -5 -nan
-2.67664 -5 -nan
-2.63894 -5 -nan
-2.60124 -5 -nan
-2.56354 -5 -nan
-2.52584 -5 -nan
-2.48814 -5 -nan
-2.45044 -5 -nan
-2.41274 -5 -nan
-2.37504 -5 -nan
-2.33734 -5 -nan
-2.29965 -5 -nan
-2.26195 -5 -nan
-2.22425 -5 -nan
-2.18655 -5 -nan
-2.14885 -5 -nan
-2.11115 -5 -nan
-2.07345 -5 -nan
-2.03575 -5 -nan
-1.99805 -5 -nan
-1.96035 -5 -nan
-1.92265 -5 -nan
-1.88496 -5 -nan
-1.84726 -5 -nan
-1.80956 -5 -nan
-1.77186 -5 -nan
-1.73416 -5 -nan
-1.69646 -5 -nan
-1.65876 -5 -nan
-1.62106 -5 -nan
-1.58336 -5 -nan
-1.54566 -5 -nan
-1.50796 -5 -nan
-1.47027 -5 -nan
-1.43257 -5 -nan
-1.39487 -5 -nan
-1.35717 -5 -nan
-1.31947 -5 -nan
-1.28177 -5 -nan
-1.24407 -5 -nan
-1.20637 -5 -nan
-1.16867 -5 -nan
-1.13097 -5 -nan
-1.09327 -5 -nan
-1.05558 -5 -nan
-1.01788 -5 -nan
-0.980177 -5 -nan
-0.942478 -5 -nan
-0.904779 -5 -nan
-0.86708 -5 -nan
-0.82938 -5 -nan
-0.791681 -5 -nan
-0.753982 -5 -nan
