X T Z
0 0 1.24771e-50
0.119522 0 7.44092e-50
0.239044 0 4.37458e-49
0.358566 0 2.53537e-48
0.478088 0 1.44858e-47
0.59761 0 8.15906e-47
0.717131 0 4.53036e-46
0.836653 0 2.47983e-45
0.956175 0 1.33816e-44
1.0757 0 7.11848e-44
1.19522 0 3.73305e-43
1.31474 0 1.92991e-42
1.43426 0 9.83569e-42
1.55378 0 4.94162e-41
1.67331 0 2.44754e-40
1.79283 0 1.19505e-39
1.91235 0 5.75224e-39
2.03187 0 2.72951e-38
2.15139 0 1.27682e-37
2.27092 0 5.88801e-37
2.39044 0 2.67672e-36
2.50996 0 1.1996e-35
2.62948 0 5.29984e-35
2.749 0 2.30826e-34
2.86853 0 9.91071e-34
2.98805 0 4.19488e-33
3.10757 0 1.75037e-32
3.22709 0 7.20008e-32
3.34661 0 2.91971e-31
3.46614 0 1.16718e-30
3.58566 0 4.59973e-30
3.70518 0 1.78699e-29
3.8247 0 6.84399e-29
3.94422 0 2.58399e-28
4.06375 0 9.61766e-28
4.18327 0 3.52893e-27
4.30279 0 1.27648e-26
4.42231 0 4.55175e-26
4.54183 0 1.60007e-25
4.66135 0 5.54495e-25
4.78088 0 1.89431e-24
4.9004 0 6.3797e-24
5.01992 0 2.11809e-23
5.13944 0 6.93244e-23
5.25896 0 2.23678e-22
5.37849 0 7.11469e-22
5.49801 0 2.23092e-21
5.61753 0 6.89619e-21
5.73705 0 2.1015e-20
5.85657 0 6.31315e-20
5.9761 0 1.86964e-19
6.09562 0 5.45841e-19
6.21514 0 1.57098e-18
6.33466 0 4.45728e-18
6.45418 0 1.24671e-17
6.57371 0 3.43762e-17
6.69323 0 9.34427e-17
6.81275 0 2.50397e-16
6.93227 0 6.61467e-16
7.05179 0 1.7226e-15
7.17131 0 4.42236e-15
7.29084 0 1.11924e-14
7.41036 0 2.79244e-14
7.52988 0 6.86821e-14
7.6494 0 1.66532e-13
7.76892 0 3.9806e-13
7.88845 0 9.37983e-13
8.00797 0 2.1789e-12
8.12749 0 4.98972e-12
8.24701 0 1.12644e-11
8.36653 0 2.50692e-11
8.48606 0 5.50004e-11
8.60558 0 1.18956e-10
8.7251 0 2.53633e-10
8.84462 0 5.33113e-10
8.96414 0 1.10466e-09
9.08367 0 2.25649e-09
9.20319 0 4.54397e-09
9.32271 0 9.02054e-09
